numquest,head,quest,answ1,answ2,answ3,answ4,answ5,answ6,answ7,answ8,answ9,answ10,answ11,answ12
1,Indichi la casella che descrive meglio la sua salute OGGI.,CAPACITÀ DI MOVIMENTO,Non ho difficoltà nel camminare,Ho lievi difficoltà nel camminare,Ho moderate difficoltà nel camminare,Ho gravi difficoltà nel camminare,Non sono in grado di camminare,,,,,,,
2,Indichi la casella che descrive meglio la sua salute OGGI.,CURA DELLA PERSONA,Non ho difficoltà nel lavarmi o vestirmi,Ho lievi difficoltà nel lavarmi o vestirmi,Ho moderate difficoltà nel lavarmi o vestirmi,Ho gravi difficoltà nel lavarmi o vestirmi,Non sono in grado di lavarmi o vestirmi,,,,,,,
3,Indichi la casella che descrive meglio la sua salute OGGI.,"ATTIVITÀ ABITUALI (per es. lavoro, studio, lavori domestici,attività familiari o di svago)",Non ho difficoltà nello svolgimento delle attività abituali,Ho lievi difficoltà nello svolgimento delle attività abituali,Ho moderate difficoltà nello svolgimento delle attività abituali,Ho gravi difficoltà nello svolgimento delle attività abituali,Non sono in grado di svolgere le mie attività abituali,,,,,,,
4,Indichi la casella che descrive meglio la sua salute OGGI.,DOLORE O FASTIDIO,Non provo alcun dolore o fastidio,Provo lieve dolore o fastidio,Provo moderato dolore o fastidio,Provo grave dolore o fastidio,Provo estremo dolore o fastidio,,,,,,,
5,Indichi la casella che descrive meglio la sua salute OGGI.,ANSIA O DEPRESSIONE,Non sono ansioso o depresso,Sono lievemente ansioso o depresso,Sono moderatamente ansioso o depresso,Sono gravemente ansioso o depresso,Sono estremamente ansioso o depresso,,,,,,,
