Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Carboplatino;CARBOPLATINO 450MG 45ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 450 mg 45 ml;195,76;118,61;-;ACCORD HEALTHCARE B.V.;039263037;AGV;
Carboplatino;CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 5 ml 10 mg/ml;22,34;13,54;-;EUGIA PHARMA (MALTA) LIMITED;050777010;AGW;
Carboplatino;CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 50 mg 5 ml;30,51;13,87;-;PFIZER ITALIA Srl;032776015;AGW;
Carboplatino;CARBOPLATINO 50MG 5ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 50 mg 5 ml;22,34;13,54;-;ACCORD HEALTHCARE B.V.;039263013;AGW;
Carboplatino;CARBOPLATINO 600MG 60ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 60 ml 10 mg/ml;285,33;172,88;-;EUGIA PHARMA (MALTA) LIMITED;050777046;AGY;
Carboplatino;CARBOPLATINO 600MG 60ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 600 mg 60 ml;285,33;172,88;-;TEVA PHARMA B.V.;034347068;AGY;
Carboplatino;CARBOPLATINO 600MG 60ML 1 UNITA' USO PARENTERALE;CARBOPLATINO*1 flaconcino EV 600 mg 60 ml;285,33;172,88;-;ACCORD HEALTHCARE B.V.;039263049;AGY;
Carbossimaltosio ferrico;CARBOSSIMALTOSIO FERRICO 50MG/ML 10ML 1 UNITA' USO PARENTERALE;CARBOSSIMALTOSIO FERRICO*1 flaconcino EV 50 mg/ml 10 ml;101,66;61,60;-;SANDOZ SpA;050380043;CLY;
Carbossimaltosio ferrico;CARBOSSIMALTOSIO FERRICO 50MG/ML 10ML 1 UNITA' USO PARENTERALE;CARBOSSIMALTOSIO FERRICO*1 flaconcino EV 50 mg/ml 10 ml;101,66;61,60;;MYLAN SpA;050618040;CLY;
Carbossimaltosio ferrico;CARBOSSIMALTOSIO FERRICO 50MG/ML 2ML 5 UNITA' USO PARENTERALE;CARBOSSIMALTOSIO FERRICO*5 flaconcini EV 50 mg/ml 2 ml;101,66;61,60;-;SANDOZ SpA;050380031;CLZ;
Carbossimaltosio ferrico;CARBOSSIMALTOSIO FERRICO 50MG/ML 2ML 5 UNITA' USO PARENTERALE;CARBOSSIMALTOSIO FERRICO*5 flaconcini EV 50 mg/ml 2 ml;101,66;61,60;;MYLAN SpA;050618038;CLZ;
Carbossimaltosio ferrico;CARBOSSIMALTOSIO FERRICO 50MG/ML 2ML 5 UNITA' USO PARENTERALE;CARBOSSIMALTOSIO FERRICO*5 flaconcini EV 50 mg/ml 2 ml;101,66;61,60;-;TEVA B.V.;051088033;CLZ;
Dexrazoxano;DEXRAZOXANO 500MG 1 UNITA' USO PARENTERALE;CARDIOXANE*1 flaconcino EV 500 mg;70,76;42,87;-;CNX THERAPEUTICS IRELAND LTD;028223016;AKU;
Epoprostenolo;EPOPROSTENOLO 0,5MG 1 UNITA' USO PARENTERALE;CARIPUL*1 flaconcino EV 0,5 mg + 1 flaconcino solv 100 ml;104,13;63,09;-;JANSSEN CILAG INTERNAT.N.V.;042119038;AOK;
Epoprostenolo;EPOPROSTENOLO 1,5MG 1 UNITA' USO PARENTERALE;CARIPUL*1 flaconcino EV 1,5 mg + 1 flaconcino solv 100 ml;178,59;108,21;-;JANSSEN CILAG INTERNAT.N.V.;042119040;AOL;
Carmustina;CARMUSTINA 100 MG 3ML 1 UNITA' USO PARENTERALE;CARMUSTINA*1 flaconcino polvere EV 100 mg + 1 flaconcino solvente 3 ml;1159,42;702,50;-;WAYMADE B.V.;049733013;LPX;
Carmustina;CARMUSTINA 100 MG 3ML 1 UNITA' USO PARENTERALE;CARMUSTINE*1 flaconcino polvere EV 100 mg + 1 flaconcino solvente 3 ml;1159,42;702,50;-;MEDAC GMBH;046920017;LPX;
Exagamglogene autotemcel;EXAGAMGLOGENE AUTOTEMCEL 4-13x10 ALLA SESTA CELLULE/ML DISPERSIONE PER INFUSIONE;CASGEVY*1 o piu' flaconcini EV 4 x 10 alla sesta - 13 x 10 alla sesta cellule dispersione per infusione da 1,5 a 20 ml;2830045,01;1714750,00;;VERTEX PHARMACEUT.IRELAND LTD;051103012;NWZ;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 50 mg;403,90;244,73;-;SUN PHARMA FRANCE;044438012;AHE;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 50 mg;403,90;244,73;-;MYLAN SpA;044784015;AHE;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 50 mg;364,52;220,87;-;TEVA ITALIA Srl;044983017;AHE;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 50 mg;403,90;244,73;-;HIKMA FARMACEUTICA S.A.;044998019;AHE;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 70 mg;513,75;311,29;-;SUN PHARMA FRANCE;044438024;AHF;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 70 mg;513,75;311,29;-;MYLAN SpA;044784027;AHF;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 70 mg;463,66;280,94;-;TEVA ITALIA Srl;044983029;AHF;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv conc soluz infus 70 mg;513,75;311,29;-;HIKMA FARMACEUTICA S.A.;044998021;AHF;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv EV 50 mg;403,90;244,73;-;SANDOZ GMBH;044348011;AHE;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flaconcino polv EV 70 mg;516,87;313,17;-;SANDOZ GMBH;044348023;AHF;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flacone polv EV 50 mg;364,52;220,87;-;LABORATORIOS LORIEN S.L.;044414011;AHE;
Caspofungin;CASPOFUNGIN 50MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flacone polv EV 50 mg;364,52;220,87;-;TILLOMED ITALIA Srl;049634013;AHE;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flacone polv EV 70 mg;463,66;280,94;-;LABORATORIOS LORIEN S.L.;044414023;AHF;
Caspofungin;CASPOFUNGIN 70MG 1 UNITA' USO PARENTERALE;CASPOFUNGIN*1 flacone polv EV 70 mg;463,66;280,94;-;TILLOMED ITALIA Srl;049634025;AHF;
Clonidina;CLONIDINA 0,15MG 1ML 5 UNITA' USO PARENTERALE;CATAPRESAN*5 fiale SC IM EV 0,15 mg 1 ml;4,99;2,27;-;GLENWOOD GMBH;021502036;AJL;
Cefazolina;CEFAZOLINA 1.000MG 1 UNITA' USO PARENTERALE EV;CEFAZOLINA*1 flacone polv EV 1 g + 1 fiala solv 10 ml;3,56;1,62;-;K24 PHARMACEUTICALS Srl;033444074;DFR;
Cefazolina;CEFAZOLINA 1.000MG 10 UNITA' USO PARENTERALE;CEFAZOLINA*10 flaconcini EV IM polv 1 g;18,87;11,43;-;QILU PHARMA SPAIN S.L.;045611023;LBK;
Cefepime;CEFEPIME 1.000MG 10 UNITA' USO PARENTERALE;CEFEPIME*10 flaconcini polv EV 1 g;85,38;51,73;-;QILU PHARMA SPAIN S.L.;045990025;LQK;
Cefepime;CEFEPIME 2.000MG 10 UNITA' USO PARENTERALE;CEFEPIME*10 flaconcini polv EV 2 g;231,16;140,07;-;QILU PHARMA SPAIN S.L.;045990052;LQO;
Cefotaxima;CEFOTAXIMA 2.000MG 1 UNITA' USO PARENTERALE;CEFOTAXIMA*1 flacone EV 2 g + 1 fiala solv 10 ml;9,49;4,31;-;TEVA ITALIA Srl;035374014;AHM;
Ceftazidima;CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*1 flaconcino EV 1 g + 1 fiala solv 10 ml;9,37;5,68;-;FRESENIUS KABI ITALIA Srl;036591042;AHP;
Ceftazidima;CEFTAZIDIMA 1.000MG 1 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*1 flacone EV 1 g/10 ml + 1 fiala solv 10 ml;9,37;5,68;-;BIOPHARMA Srl;036012045;AHP;
Ceftazidima;CEFTAZIDIMA 2.000MG 1 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*1 flacone EV 2 g;19,92;12,07;-;BIOPHARMA Srl;036012058;AHR;
Ceftazidima;CEFTAZIDIMA 2.000MG 1 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*1 flacone EV 2 g;19,92;12,07;-;ASTRO-PHARMA VERTRIEB GMBH;036459030;AHR;
Ceftazidima;CEFTAZIDIMA 2.000MG 1 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*1 flacone EV 2 g;19,92;12,07;-;FRESENIUS KABI ITALIA Srl;036591055;AHR;
Ceftazidima;CEFTAZIDIMA 1.000MG 10 UNITA' USO PARENTERALE IM EV;CEFTAZIDIMA*10 flaconcini polv EV 1 g;51,39;31,14;-;ASTRO-PHARMA VERTRIEB GMBH;036459055;AHQ;
Ceftazidima;CEFTAZIDIMA 2.000MG 10 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*10 flaconcini polv EV 2 g;102,78;62,27;-;ASTRO-PHARMA VERTRIEB GMBH;036459067;LGF;
Ceftazidima;CEFTAZIDIMA 1.000MG 10 UNITA' USO PARENTERALE IM EV;CEFTAZIDIMA*10 flaconi polv EV 1 g;51,39;31,14;-;QILU PHARMA SPAIN S.L.;045576055;AHQ;
Ceftazidima;CEFTAZIDIMA 2.000MG 10 UNITA' USO PARENTERALE EV;CEFTAZIDIMA*10 flaconi polv EV 2 g;102,78;62,27;-;QILU PHARMA SPAIN S.L.;045576081;LGF;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE EV;CEFTRIAXONE*1 fiala EV 1 g + 1 fiala solv 10 ml;7,44;4,50;-;RATIOPHARM GMBH;035802040;AHU;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE EV;CEFTRIAXONE*1 fiala EV 1 g + 1 fiala solv 10 ml;7,44;4,50;-;BIOPHARMA Srl;035814033;AHU;
Ceftriaxone;CEFTRIAXONE 1.000MG 1 UNITA' USO PARENTERALE EV;CEFTRIAXONE*1 flacone EV 1 g 10 ml + 1 fiala 10 ml;7,44;4,50;-;FRESENIUS KABI ITALIA Srl;035906041;AHU;
Ceftriaxone;CEFTRIAXONE 2.000MG 1 UNITA' USO PARENTERALE;CEFTRIAXONE*1 flacone EV 2 g;14,95;9,06;-;RATIOPHARM GMBH;035802053;AHW;
Ceftriaxone;CEFTRIAXONE 2.000MG 10 UNITA' USO PARENTERALE EV;CEFTRIAXONE*10 flaconcini 2 g polv per infusione;134,55;81,52;-;MYLAN SpA;035878077;GSC;
Ceftriaxone;CEFTRIAXONE 1.000MG 10 UNITA' USO PARENTERALE EV;CEFTRIAXONE*10 flaconcini EV 1 g;70,67;37,68;-;MYLAN SpA;035878065;DGD;
Ceftriaxone;CEFTRIAXONE 1.000MG 10 UNITA' USO PARENTERALE;CEFTRIAXONE*10 flaconcini EV IM polv 1 g;70,67;37,68;-;QILU PHARMA SPAIN S.L.;045595028;AHV;
Ceftriaxone;CEFTRIAXONE 2.000MG 10 UNITA' USO PARENTERALE;CEFTRIAXONE*10 flaconcini EV IM polv 2 g;134,55;81,52;-;QILU PHARMA SPAIN S.L.;045595055;NQY;
Cefuroxima;CEFUROXIMA 750MG 50 UNITA' USO PARENTERALE EV;CEFUROXIMA*50 flaconi polv soluz iniett 750 mg;97,10;44,14;-;K24 PHARMACEUTICALS Srl;033447020;DGQ;
Maraviroc;MARAVIROC 150MG 60 UNITA' USO ORALE;CELSENTRI*60 cpr riv 150 mg;1340,55;812,25;-;VIIV HEALTHCARE BV;038138032;BDL;
Maraviroc;MARAVIROC 300MG 60 UNITA' USO ORALE;CELSENTRI*60 cpr riv 300 mg;1340,55;812,25;-;VIIV HEALTHCARE BV;038138083;BDM;
Maraviroc;MARAVIROC 150MG 60 UNITA' USO ORALE;CELSENTRI*60 cpr rivestite 150 mg;1246,7;755,39;;ABACUS MEDICINE A/S COPENHAGEN;051698013;BDL;
Maraviroc;MARAVIROC 300MG 60 UNITA' USO ORALE;CELSENTRI*60 cpr rivestite 300 mg;1246,7;755,39;;ABACUS MEDICINE A/S COPENHAGEN;051698025;BDM;
Maraviroc;MARAVIROC 20MG/ML 230ML USO ORALE;CELSENTRI*sol orale 230 ml 20 mg/ml flacone + adattatore + applicatore per uso orale;685,17;415,15;-;VIIV HEALTHCARE BV;038138133;KPE;
Proteina C Umana;PROTEINA C UMANA 1.000UI 1 UNITA' USO PARENTERALE;CEPROTIN*1 fiala EV 1.000 UI;3284,30;1990,00;-;BAXTER AG;035389028;BIS;
Proteina C Umana;PROTEINA C UMANA 500UI 1 UNITA' USO PARENTERALE;CEPROTIN*1 fiala EV 500 UI;1642,15;995,00;-;BAXTER AG;035389016;BIT;
Imiglucerasi;IMIGLUCERASI 400U 10ML 1 UNITA' USO PARENTERALE;CEREZYME*1 flaconcino EV 400 U/10 ml;2193,00;1328,77;-;SANOFI B.V.;034088031;AUE;
Adrenalina;ADRENALINA 150MCG 0,30ML 1 UNITA' USO PARENTERALE;CHENPEN*1 siringa preriempita IM 150 mcg/0,3 ml;62,13;37,65;-;BIOPROJET PHARMA;040864011;ACI;
Adrenalina;ADRENALINA 300MCG 0,30ML 1 UNITA' USO PARENTERALE;CHENPEN*1 siringa preriempita IM 300 mcg/0,3 ml;62,13;37,65;-;BIOPROJET PHARMA;040864023;ACL;
Adrenalina;ADRENALINA 500 MCG 0,3ML 1 UNITA' USO PARENTERALE;CHENPEN*1 siringa preriempita IM 500 mcg/0,3 ml;62,13;37,64;-;BIOPROJET PHARMA;040864050;LFW;
Chinina;CHININA CLORIDRATO 500MG 2ML 10 UNITA' USO PARENTERALE;CHININA CLORIDRATO*10 fiale 500 mg/2 ml;12,96;7,86;-;AID-STAB.CHIM. FARM.MILITARE;036310011;AIC;
Abrocitinib;ABROCITINIB 100MG 28 UNITA' USO ORALE;CIBINQO*28 cpr riv 100 mg;2097,19;1270,72;-;PFIZER EUROPE MA EEIG;049826098;MCK;
Abrocitinib;ABROCITINIB 50MG 28 UNITA' USO ORALE;CIBINQO*28 cpr riv 50 mg;2097,19;1270,72;-;PFIZER EUROPE MA EEIG;049826047;MCJ;
Abrocitinib;ABROCITINIB 200MG 28 UNITA' USO ORALE;CIBINQO*7x4 cpr riv 200 mg;2097,19;1270,72;-;PFIZER EUROPE MA EEIG;049826148;UZD;
Abrocitinib;ABROCITINIB 100MG 91 UNITA' USO ORALE;CIBINQO*91 cpr riv 100 mg;6815,88;4129,84;-;PFIZER EUROPE MA EEIG;049826100;MKK;
Cidofovir;CIDOFOVIR 375MG 5ML 1 UNITA' USO PARENTERALE;CIDOFOVIR*1 flaconcino EV 75 mg/ml 5 ml;849,61;514,80;-;TILLOMED ITALIA Srl;049238013;DIQ;
Certolizumab pegol;CERTOLIZUMAB PEGOL 200MG 1ML 2 UNITA' USO PARENTERALE;CIMZIA*2 penne SC 200 mg 1 ml + 2 salviettine;1519,29;920,55;-;UCB PHARMA S.A.;039539059;AHX;
Certolizumab pegol;CERTOLIZUMAB PEGOL 200MG 1ML 2 UNITA' USO PARENTERALE;CIMZIA*2 siringhe SC 200 mg 1 ml + 2 salviettine;1519,29;920,55;-;UCB PHARMA S.A.;039539010;AHX;
Ciprofloxacina;CIPROFLOXACINA 200MG 100ML 10 UNITA' USO PARENTERALE;CIPROFLOXACINA*10 flaconi EV 200 mg 100 ml;126,61;76,71;-;FRESENIUS KABI ITALIA Srl;037406257;AII;
Ciprofloxacina;CIPROFLOXACINA 400MG 200ML 10 UNITA' USO PARENTERALE;CIPROFLOXACINA*10 flaconi EV 400 mg 200 ml;287,92;174,46;-;FRESENIUS KABI ITALIA Srl;037406307;AIM;
Ciprofloxacina;CIPROFLOXACINA 200MG 100ML 10 UNITA' USO PARENTERALE;CIPROFLOXACINA*10 sacche soluz infus 200 mg/100 ml;133,30;80,78;-;GALENICA SENESE Srl;040034035;AII;
Ciprofloxacina;CIPROFLOXACINA 200MG 100ML 25 UNITA' USO PARENTERALE;CIPROFLOXACINA*25 flaconi EV 200 mg/100 ml;333,30;201,93;-;BIOINDUSTRIA L.I.M. SpA;038279030;AIJ;
Ciprofloxacina;CIPROFLOXACINA 400MG 200ML 25 UNITA' USO PARENTERALE;CIPROFLOXACINA*25 flaconi EV 400mg;757,79;459,14;-;BIOINDUSTRIA L.I.M. SpA;038279067;AIO;
Ciprofloxacina;CIPROFLOXACINA 200MG 100ML 1 UNITA' USO PARENTERALE;CIPROXIN*1 flacone EV 200 mg 100 ml;27,78;12,63;-;BAYER SpA;026664045;AIH;
Cisplatino;CISPLATINO 10MG 10ML 1 UNITA' USO PARENTERALE;CISPLATINO*1 flaconcino EV 10 ml 1 mg/ml;7,60;4,61;-;ACCORD HEALTHCARE SLU;040210015;AIR;
Cisplatino;CISPLATINO 100MG 100ML 1 UNITA' USO PARENTERALE;CISPLATINO*1 flaconcino EV 100 mg 100 ml;38,34;23,23;-;SANDOZ SpA;033346040;AIP;
Cisplatino;CISPLATINO 100MG 100ML 1 UNITA' USO PARENTERALE;CISPLATINO*1 flaconcino EV 100 mg 100 ml;38,34;23,23;-;TEVA ITALIA Srl;039054061;AIP;
Cisplatino;CISPLATINO 100MG 100ML 1 UNITA' USO PARENTERALE;CISPLATINO*1 flaconcino EV 100 ml 1 mg/ml;38,34;23,23;-;ACCORD HEALTHCARE SLU;040210041;AIP;
Cisplatino;CISPLATINO 100MG 100ML 1 UNITA' USO PARENTERALE;CISPLATINO*1 flaconcino EV 100 ml 1 mg/ml;38,34;23,23;-;HIKMA FARMACEUTICA S.A.;049681024;AIP;
Cisplatino;CISPLATINO 50MG 100ML 1 UNITA' USO PARENTERALE;CISPLATINO*1 flaconcino EV 50 mg 100 ml;23,88;14,47;-;TEVA ITALIA Srl;039054034;AIV;
Cisplatino;CISPLATINO 50MG 50ML 1 UNITA' USO PARENTERALE;CISPLATINO*1 flaconcino EV 50 ml 1 mg/ml;21,22;12,86;-;ACCORD HEALTHCARE SLU;040210039;AIW;
Cisplatino;CISPLATINO 50MG 50ML 1 UNITA' USO PARENTERALE;CISPLATINO*1 flaconcino EV 50 ml 1 mg/ml;21,22;12,86;-;HIKMA FARMACEUTICA S.A.;049681012;AIW;
Citarabina;CITARABINA 1.000MG 10ML 1 UNITA' USO PARENTERALE;CITARABINA*1 fiala EV 1 g 10 ml;31,51;14,33;-;HIKMA FARMACEUTICA S.A.;034164057;AIY;
Citarabina;CITARABINA 2.000MG 20ML 1 UNITA' USO PARENTERALE;CITARABINA*1 fiala EV 2 g 20 ml;61,68;28,04;-;HIKMA FARMACEUTICA S.A.;034164069;AJE;
Citarabina;CITARABINA 1.000MG 10ML 1 UNITA' USO PARENTERALE;CITARABINA*1 flaconcino EV SC 10 ml 100 mg/ml;23,64;14,33;-;ACCORD HEALTHCARE SLU;042356055;AIY;
Citarabina;CITARABINA 2.000MG 20ML 1 UNITA' USO PARENTERALE;CITARABINA*1 flaconcino EV SC 20 ml 100 mg/ml;46,28;28,04;-;ACCORD HEALTHCARE SLU;042356067;AJE;
Citarabina;CITARABINA 4.000MG 40ML 1 UNITA' USO PARENTERALE;CITARABINA*1 flaconcino EV SC 40 ml 100 mg/ml;92,56;56,08;-;ACCORD HEALTHCARE SLU;042356079;JDZ;
Citarabina;CITARABINA 500MG 5ML 5 UNITA' USO PARENTERALE;CITARABINA*5 fiale EV 500 mg 5 ml;76,25;34,66;-;HIKMA FARMACEUTICA S.A.;034164044;AJG;
Citarabina;CITARABINA 100MG 1ML 5 UNITA' USO PARENTERALE;CITARABINA*5 flaconcini EV SC 1 ml 100 mg/ml;12,89;7,81;-;ACCORD HEALTHCARE SLU;042356028;DKL;
Citarabina;CITARABINA 500MG 5ML 5 UNITA' USO PARENTERALE;CITARABINA*5 flaconcini EV SC 5 ml 100 mg/ml;57,20;34,66;-;ACCORD HEALTHCARE SLU;042356042;AJG;
Ganciclovir;GANCICLOVIR 500MG 1 UNITA' USO PARENTERALE;CITOVIRAX*1 flaconcino EV 500 mg;57,67;34,93;-;CHEPLAPHARM ARZNEIMITTEL GMBH;032837015;ASW;
Claritromicina;CLARITROMICINA 500MG 1 UNITA' USO PARENTERALE;CLARITROMICINA*1 flaconcino EV 500 mg;17,70;10,73;-;HIKMA FARMACEUTICA S.A.;042118012;IZE;
Claritromicina;CLARITROMICINA 500MG 1 UNITA' USO PARENTERALE;CLARITROMICINA*1 flaconcino EV 500 mg;17,70;10,73;-;ALTAN PHARMACEUTICALS S.A.;045203015;IZE;
Claritromicina;CLARITROMICINA 500MG 1 UNITA' USO PARENTERALE;CLARITROMICINA*1 flaconcino EV 500 mg;17,70;10,73;-;TILLOMED ITALIA Srl;048727010;IZE;
Claritromicina;CLARITROMICINA 500MG 10ML 10 UNITA' USO PARENTERALE;CLARITROMICINA*10 flaconcini EV 500 mg;118,56;71,84;-;HIKMA FARMACEUTICA S.A.;042118024;KFB;
Clevidipina;CLEVIDIPINA 0,5MG/ML 50ML 10 UNITA' USO PARENTERALE;CLEVIPREX*10 flaconcini EV 0,5 mg/ml 50 ml;2640,63;1600,00;-;CHIESI FARMACEUTICI SpA;041759010;KRQ;
Clindamicina;CLINDAMICINA 600MG 4ML 5 UNITA' USO PARENTERALE;CLINDAMICINA FOSFATO*5 fiale IM EV 600 mg 4 ml;20,67;12,53;-;BIOINDUSTRIA L.I.M. SpA;036441018;AJJ;
Clofarabina;CLOFARABINA 20MG 20ML 4 UNITA' USO PARENTERALE;CLOFARABINA*4 flaconcini EV 20 mg 20 ml 1 mg/ml;7584,47;4595,53;-;MEDAC PHARMA Srl;045373014;AJK;
Cloramfenicolo;CLORAMFENICOLO 1.000 MG 10ML 1 UNITA' USO PARENTERALE;CLORAMFENICOLO*1 flaconcino EV 1 g 10 ml;3,43;1,83;-;FISIOPHARMA Srl;031414016;69A;
Cloramfenicolo;CLORAMFENICOLO 1.000 MG 10ML 10 UNITA' USO PARENTERALE;CLORAMFENICOLO*10 flaconcini EV 1 g 10 ml;24,43;14,80;-;FISIOPHARMA Srl;031414028;NST;
Fattore II/Fattore VII/Fattore IX/Fattore X della coagulazione/Proteina C/Proteina S;FATTORE II+FATTORE VII+FATTORE IX+FATTORE X DELLA COAGULAZIONE+PROTEINA C+PROTEINA S 500UI 20ML 1 UNITA' USO PARENTERALE;COFACT*1 flaconcino EV 500 Unita' Internazionali + 1 flaconcino solv 20 ml con dispositivo Nextaro v;379,59;230,00;-;PROTHYA BIOSOLUTIONS NETH.BV;049861038;APS;
Glofitamab;GLOFITAMAB 10MG 10ML 1 UNITA' USO PARENTERALE;COLUMVI*1 flaconcino EV 10 mg 10 ml;5957,94;3610,00;-;ROCHE REGISTRATION GMBH;050753021;MYF;
Glofitamab;GLOFITAMAB 2,5MG 2,5ML 1 UNITA' USO PARENTERALE;COLUMVI*1 flaconcino EV 2,5 mg 2,5 ml;1489,49;902,50;-;ROCHE REGISTRATION GMBH;050753019;MYG;
Lamivudina/zidovudina;LAMIVUDINA+ZIDOVUDINA 150+300MG 60 UNITA' USO ORALE;COMBIVIR*60 cpr riv 150 mg + 300 mg;471,79;285,86;-;VIIV HEALTHCARE BV;034092015;BCI;
Cabozantinib;CABOZANTINIB 20MG 28 UNITA' + 80MG 28 UNITA' USO ORALE;COMETRIQ*28 cps 20 mg + 28 cps 80 mg;10128,50;6137,00;-;IPSEN PHARMA;043339050;JGC;
Cabozantinib;CABOZANTINIB 20MG 84 UNITA' USO ORALE;COMETRIQ*84 cps 20 mg;10128,50;6137,00;-;IPSEN PHARMA;043339047;JGB;
Cabozantinib;CABOZANTINIB 20MG 84 UNITA' + 80MG 28 UNITA' USO ORALE;COMETRIQ*84 cps 20 mg + 28 cps 80 mg;10128,50;6137,00;-;IPSEN PHARMA;043339062;JGD;
Fattore II/Fattore VII/Fattore IX/Fattore X della coagulazione/Proteina C/Proteina S;FATTORE II+FATTORE VII+FATTORE IX+FATTORE X DELLA COAGULAZIONE+PROTEINA C+PROTEINA S 1000UI 40ML 1UNITA' USO PARENTERALE;CONFIDEX 1000*1 flaconcino polv EV + 1 flaconcino solv 40 ml;759,18;460,00;-;CSL BEHRING GmbH;038844027;JNT;
Fattore II/Fattore VII/Fattore IX/Fattore X della coagulazione/Proteina C/Proteina S;FATTORE II+FATTORE VII+FATTORE IX+FATTORE X DELLA COAGULAZIONE+PROTEINA C+PROTEINA S 500UI 20ML 1 UNITA' USO PARENTERALE;CONFIDEX 500*1 flaconcino polv + 1 flaconcino solv 20 ml;379,59;230,00;-;CSL BEHRING GmbH;038844015;APS;
Pralidoxima;PRALIDOXIMA 200MG 10 UNITA' USO PARENTERALE;CONTRATHION*10 flaconcini EV 200 mg/10 ml;43,78;26,52;-;SERB SAS;021091020;BIK;
Amiodarone;AMIODARONE 150MG 3ML 6 UNITA' USO PARENTERALE;CORDARONE*6 fiale EV 150 mg 3 ml;5,63;3,41;-;SANOFI Srl;025035039;ADU;
Fenoldopam;FENOLDOPAM 20MG 2ML 1 UNITA' USO PARENTERALE;CORLOPAM*1 fiala EV 20 mg 2 ml;235,28;106,95;-;TEVA ITALIA Srl;028026019;APZ;
Secukinumab;SECUKINUMAB 150MG 1ML 1 UNITA' USO PARENTERALE;COSENTYX*1 penna preriempita SC 150 mg 1 ml;781,98;473,81;-;NOVARTIS EUROPHARM LTD;043873049;JOC;
Secukinumab;SECUKINUMAB 300MG 2ML 1 UNITA' USO PARENTERALE;COSENTYX*1 penna preriempita SC 300 mg 2 ml 150 mg/ml;1563,96;947,63;-;NOVARTIS EUROPHARM LTD;043873102;LSI;
Secukinumab;SECUKINUMAB 150MG 1ML 1 UNITA' USO PARENTERALE;COSENTYX*1 siringa preriempita SC 150 mg 1 ml;781,98;473,81;-;NOVARTIS EUROPHARM LTD;043873025;JOC;
Secukinumab;SECUKINUMAB 300MG 2ML 1 UNITA' USO PARENTERALE;COSENTYX*1 siringa preriempita SC 300 mg 2 ml 150 mg/ml;1563,96;947,63;-;NOVARTIS EUROPHARM LTD;043873088;LSI;
Secukinumab;SECUKINUMAB 75MG 0,5ML 1 UNITA' USO PARENTERALE;COSENTYX*1 siringa preriempita SC 75 mg 0,5 ml 150 mg/ml;390,99;236,91;-;NOVARTIS EUROPHARM LTD;043873126;LYO;
Secukinumab;SECUKINUMAB 150MG 1ML 2 UNITA' USO PARENTERALE;COSENTYX*2 penne preriempite SC 150 mg 1 ml;1563,96;947,63;-;NOVARTIS EUROPHARM LTD;043873052;GZM;
