Principio Attivo;Descrizione Gruppo;Denominazione e Confezione;Prezzo al pubblico €;Prezzo Ex-factory €;Prezzo massimo di cessione €;Titolare AIC;"Codice 
AIC";Codice Gruppo Equivalenza;Metri cubi ossigeno 
Sodio ibandronato;SODIO IBANDRONATO 3MG 3ML 1 UNITA' USO PARENTERALE;ACIDO IBANDRONICO*1 siringa 3 mg 3 ml + 1 ago;83,02;50,30;-;ACCORD HEALTHCARE SLU;042505053;BKP;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml;134,49;81,49;-;MEDAC GMBH;042333017;ACD;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml;134,49;81,49;-;MYLAN PHARMACEUTICALS LIMITED;042342016;ACD;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flaconcino soluz concentr infus 4 mg 5 ml;134,49;81,49;-;TILLOMED ITALIA Srl;044733018;ACD;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 100ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 flacone soluz concentr infus 4 mg 100 ml;190,62;115,49;-;MEDAC GMBH;042333043;ABZ;
Acido zoledronico;ACIDO ZOLEDRONICO 5MG 100ML 1 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*1 sacca soluz INFUS EV 5 mg 100 ml;423,59;256,66;-;ALTAN PHARMACEUTICALS S.A.;042337016;ACE;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 10 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*10 flaconcini concentrato soluzione per infusione 4 mg 5 ml;1270,24;769,65;-;HIKMA FARMACEUTICA S.A.;041330022;CAW;
Acido zoledronico;ACIDO ZOLEDRONICO 4MG 5ML 10 UNITA' USO PARENTERALE;ACIDO ZOLEDRONICO*10 flaconcini soluz infus 4 mg 5 ml;699,98;424,18;-;ACCORD HEALTHCARE SLU;043198035;CAW;
Acido zoledronico;ACIDO ZOLEDRONICO 5MG 100ML 1 UNITA' USO PARENTERALE;ACLASTA*1 flaconcino EV 0,05 mg/ml 100 ml;529,49;320,82;-;SANDOZ PHARMACEUTICALS D.D.;037105018;ACE;
Acido zoledronico;ACIDO ZOLEDRONICO 5MG 100ML 1 UNITA' USO PARENTERALE;ACLASTA*1 flaconcino EV 0,05 mg/ml 100 ml;492,42;298,37;-;ABACUS MEDICINE A/S COPENHAGEN;051271017;ACE;
Alteplasi;ALTEPLASI 20MG 20ML 1 UNITA' USO PARENTERALE;ACTILYSE*1 flaconcino EV 20 mg + 1 flaconcino solv 20 ml;362,65;164,84;-;BOEHRINGER INGELHEIM IT.SpA;026533051;ADK;
Alteplasi;ALTEPLASI 50MG 50ML 1 UNITA' USO PARENTERALE;ACTILYSE*1 flaconcino EV 50 mg + 1 flaconcino solv 50 ml;809,51;367,95;-;BOEHRINGER INGELHEIM IT.SpA;026533048;ADL;
Brentuximab vedotin;BRENTUXIMAB VEDOTIN 50MG 1 UNITA' USO PARENTERALE;ADCETRIS*1 flaconcino EV 50 mg polv;4964,50;3008,03;-;TAKEDA PHARMA A/S;042448011;CFM;
Doxorubicina;DOXORUBICINA 10MG 5ML 1 UNITA' USO PARENTERALE;ADRIBLASTINA*1 fiala EV 10 mg 5 ml;28,99;13,18;-;PFIZER ITALIA Srl;022393058;ALW;
Doxorubicina;DOXORUBICINA 50MG 25ML 1 UNITA' USO PARENTERALE;ADRIBLASTINA*1 flaconcino EV 50 mg 25 ml;119,51;54,32;-;PFIZER ITALIA Srl;022393060;AMF;
